image_a,image_b,label,transformation,pair_type,clip_score,cnn_score,final_score,prediction,correct
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0069_94979.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0069_94979_blur.jpg,plagiarized,blur,positive,0.975243,0.914145,0.920254,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0069_94979.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0070_102578_blur.jpg,not_plagiarized,blur,negative,0.701396,0.420007,0.448146,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0070_102578.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0070_102578_blur.jpg,plagiarized,blur,positive,0.956347,0.887396,0.894291,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0070_102578.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0071_92937_blur.jpg,not_plagiarized,blur,negative,0.599406,0.302817,0.332476,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0071_92937.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0071_92937_blur.jpg,plagiarized,blur,positive,0.983147,0.898248,0.906737,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0071_92937.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0072_151904_blur.jpg,not_plagiarized,blur,negative,0.644687,0.240484,0.280904,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0072_151904.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0072_151904_blur.jpg,plagiarized,blur,positive,0.991570,0.936469,0.941979,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0072_151904.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0073_110180_blur.jpg,not_plagiarized,blur,negative,0.733254,0.179179,0.234586,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0073_110180.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0073_110180_blur.jpg,plagiarized,blur,positive,0.951610,0.847917,0.858287,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0073_110180.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0074_137259_blur.jpg,not_plagiarized,blur,negative,0.638657,0.349611,0.378515,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0074_137259.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0074_137259_blur.jpg,plagiarized,blur,positive,0.969376,0.912464,0.918156,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0074_137259.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0075_141639_blur.jpg,not_plagiarized,blur,negative,0.522829,0.226091,0.255764,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0075_141639.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0075_141639_blur.jpg,plagiarized,blur,positive,0.971246,0.815819,0.831362,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0075_141639.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0076_149410_blur.jpg,not_plagiarized,blur,negative,0.625223,0.175559,0.220525,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0076_149410.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0076_149410_blur.jpg,plagiarized,blur,positive,0.964935,0.873987,0.883081,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0076_149410.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0077_149112_blur.jpg,not_plagiarized,blur,negative,0.567553,0.115656,0.160845,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0077_149112.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0077_149112_blur.jpg,plagiarized,blur,positive,0.872103,0.830855,0.834980,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0077_149112.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0078_125249_blur.jpg,not_plagiarized,blur,negative,0.725646,0.173291,0.228526,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0078_125249.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0078_125249_blur.jpg,plagiarized,blur,positive,0.968140,0.886160,0.894358,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0078_125249.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0079_135299_blur.jpg,not_plagiarized,blur,negative,0.724849,0.483794,0.507900,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0079_135299.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0079_135299_blur.jpg,plagiarized,blur,positive,0.976394,0.853980,0.866222,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0079_135299.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0080_93014_blur.jpg,not_plagiarized,blur,negative,0.542700,0.150085,0.189346,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0080_93014.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0080_93014_blur.jpg,plagiarized,blur,positive,0.989523,0.940880,0.945745,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0080_93014.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0081_135382_blur.jpg,not_plagiarized,blur,negative,0.628664,0.121469,0.172188,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0081_135382.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0081_135382_blur.jpg,plagiarized,blur,positive,0.959553,0.807557,0.822756,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0081_135382.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0082_128391_blur.jpg,not_plagiarized,blur,negative,0.735307,0.320322,0.361820,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0082_128391.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0082_128391_blur.jpg,plagiarized,blur,positive,0.973344,0.902270,0.909377,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0082_128391.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0083_140161_blur.jpg,not_plagiarized,blur,negative,0.672440,0.307925,0.344376,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0083_140161.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0083_140161_blur.jpg,plagiarized,blur,positive,0.967699,0.894919,0.902197,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0083_140161.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0084_125104_blur.jpg,not_plagiarized,blur,negative,0.587592,0.172605,0.214104,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0084_125104.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0084_125104_blur.jpg,plagiarized,blur,positive,0.981249,0.864523,0.876196,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0084_125104.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0085_138464_blur.jpg,not_plagiarized,blur,negative,0.596217,0.135895,0.181927,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0085_138464.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0085_138464_blur.jpg,plagiarized,blur,positive,0.989852,0.961036,0.963918,plagiarized,True
